d12,50 GP Gemstons
1,Bloodstone (opaque dark gray with red flecks)
2,Carnelian (opaque orange to red-brown)
3,Chalcedony (opaque white)
4,Chrysoprase (translucent green)
5,Citrine (transparent pale yellow-brown)
6,"Jasper (opaque blue, black, or brown)"
7,Moonstone (translucent white with pale blue glow)
8,"Onyx (opaque bands of black and white, or pure black or white)"
9,"Quartz (transparent white, smoky gray, or yellow)"
10,Sardonyx (opaque bands of red and white)
11,Star rose quartz (translucent rosy stone with white star-shaped center)
12,Zircon (transparent pale blue-green)
