,CP,SP,EP,GP,PP
Coins,-,-,-,12d6 X 1000,8d6 x 1000 
d100,Gems or Art Objects,Magic Items
01-02,-,-
03-05,3d6 1000 gp gems,Roll 1d8 times on Magic Item Table C.
06-08,1d10 2500 gp art objects,Roll 1d8 times on Magic Item Table C.
09-11,1d4 7500 gp art objects,Roll 1d8 times on Magic Item Table C.
12-14,1d8 5000 gp gems,Roll 1d8 times on Magic Item Table C.
15-22,3d6 1000 gp gems,Roll 1d6 times on Magic Item Table D.
23-30,1d10 2500 gp art objects,Roll 1d6 times on Magic Item Table D.
31-38,1d4 7500 gp art objects,Roll 1d6 times on Magic Item Table D.
39-46,1d8 5000 gp gems,Roll 1d6 times on Magic Item Table D
47-52,3d6 1000 gp gems,Roll 1d6 times on Magic Item Table E.
53-58,1d10 2500 gp art objects,Roll1d6 times on Magic Item Table E.
59-63,1d4 7500 gp art objects,Roll 1d6 times on Magic Item Table E.
64-68,1d8 5000 gp gems,Roll 1d6 times on Magic Item Table E.
69,3d6 1000 gp gems,Roll 1d4 times on Magic Item Table G.
70,1d10 2500 gp art objects,Roll 1d4 times on Magic Item Table G.
71,1d4 7500 gp art objects,Roll 1d4 times on Magic Item Table G.
72,1d8 5000 gp gems,Roll 1d4 times on Magic Item Table G.
73-74,3d6 1000 gp gems,Roll 1d4 times on Magic Item Table H.
75-76,1d10 2500 gp art objects,Roll 1d4 times on Magic Item Table H.
77-78,1d4 7500 gp art objects,Roll 1d4 times on Magic Item Table H.
79-80,1d8 5000 gp gems,Roll 1d4 times on Magic Item Table H.
81-85,3d6 1000 gp gems,Roll 1d4 times on Magic Item Table I.
86-90,1d10 2500 gp art objects,Roll 1d4 times on Magic Item Table I.
91-95,1d4 7500 gp art objects,Roll once on Magic Item Table F and 1d4 times on Magic Item Table G.
96-100,1d8 5000 gp gems,Roll 1d4 times on Magic Item Table I.
